City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
557,romorantin-lanthenay,47.4167,1.8333,22.72,60,0,1.03,FR,1689583758
558,yichang,30.7144,111.2847,33.59,43,0,4.52,CN,1689583758
559,aykhal,66.0,111.5,7.95,96,100,5.75,RU,1689583758
560,siniscola,40.5719,9.6922,31.75,38,0,1.77,IT,1689583758
561,xining,36.6167,101.7667,24.38,39,67,7.3,CN,1689583759
562,broome,42.2506,-75.833,19.74,89,0,1.54,US,1689583759
563,adwick le street,53.5734,-1.1884,17.84,72,51,4.5,GB,1689583759
564,sinfra,6.6167,-5.9167,23.36,95,100,1.65,CI,1689583759
565,acapulco de juarez,16.8634,-99.8901,26.38,86,87,2.93,MX,1689583760
566,talalayivka,50.9578,31.9209,28.64,36,10,0.96,UA,1689583760
567,topchanchi,23.9,86.2,32.49,57,100,5.6,IN,1689583760
568,dunbar,38.3606,-81.7374,19.02,98,40,0.0,US,1689583760
569,mangalia,43.8,28.5833,28.34,47,0,5.13,RO,1689583760
570,baiti,13.745,-14.7482,27.93,77,100,4.26,SN,1689583761
571,turabah,21.2141,41.6331,39.06,8,46,2.81,SA,1689583761
572,koundara,12.4833,-13.3,23.26,92,100,0.66,GN,1689583761
573,porangatu,-13.4408,-49.1486,22.37,46,14,0.94,BR,1689583761
574,arar,30.9753,41.0381,41.01,6,0,7.2,SA,1689583762
575,laibin,23.7,109.2667,27.73,71,81,8.32,CN,1689583762
576,uige,-7.6087,15.0613,31.25,19,0,4.07,AO,1689583762
577,wundanyi,-3.4019,38.364,22.12,41,36,5.5,KE,1689583762
578,kanye,-24.9667,25.3327,18.64,23,0,2.92,BW,1689583762
579,mendefera,14.8872,38.8153,24.19,48,46,2.8,ER,1689583763
580,reyes,-14.3167,-67.3833,21.15,85,90,0.56,BO,1689583763
